country,year,gdp,nothing,percent
Slovenia [+],2021,"$61,873M",,8.20%,
Solomon Islands [+],2021,"$1,580M",,-0.60%,
Somalia [+],2021,"$9,839M",,3.30%,
South Africa [+],2021,"$420,009M",,4.70%,
South Korea [+],2021,"$1,817,690M",,4.30%,
South Sudan [+],2021,"$5,935M",,5.30%,
Spain [+],2021,"$1,446,610M",,6.40%,
Sri Lanka [+],2021,"$88,548M",,3.50%,
State of Palestine [+],2021,"$18,109M",,7.00%,
Sudan [+],2021,"$34,230M",,-1.90%,
Suriname [+],2021,"$2,985M",,-2.70%,
Sweden [+],2021,"$639,715M",,6.10%,
Switzerland [+],2021,"$812,383M",,4.20%,
Syria [+],2021,"$8,970M",,1.30%,
Taiwan [+],2021,"$775,741M",,6.50%,
Tajikistan [+],2021,"$8,934M",,9.40%,
Tanzania [+],2021,"$69,938M",,4.90%,
Thailand [+],2021,"$505,568M",,1.50%,
The Gambia [+],2021,"$2,045M",,5.30%,
Timor-Leste [+],2021,"$3,621M",,2.90%,
Togo [+],2021,"$8,338M",,6.00%,
Tonga [+],2021,$470M,,-2.70%,
Trinidad and Tobago [+],2021,"$23,923M",,-1.00%,
Tunisia [+],2021,"$46,688M",,4.40%,
Turkmenistan [+],2021,"$64,367M",,4.60%,
Tuvalu [+],2021,$60M,,1.80%,
Turkey [+],2021,"$818,337M",,11.40%,
Uganda [+],2021,"$42,676M",,5.70%,
Ukraine [+],2021,"$199,835M",,3.40%,
United Arab Emirates [+],2021,"$415,179M",,4.40%,
United Kingdom [+],2021,"$3,123,230M",,8.70%,
United States [+],2021,"$23,594,000M",,5.80%,
Uruguay [+],2021,"$61,413M",,5.30%,
Uzbekistan [+],2021,"$69,601M",,7.40%,
Vanuatu [+],2021,$972M,,0.60%,
Venezuela [+],2018,"$102,021M",,-19.70%,
Viet Nam [+],2021,"$369,736M",,2.60%,
Yemen [+],2021,"$19,263M",,-1.00%,
Zambia [+],2021,"$22,148M",,4.60%,
Zimbabwe [+],2021,"$35,990M",,8.40%,

